"file","column","type","range","observed","nulls","defined_in","description"
"tweets","tweet_id","string (digits)","platform post id","","0","2A §5.1; 2B §5.1","X post identifier. Primary key; joins comments.parent_tweet_id and bertopic_topic_assignments.tweet_id."
"tweets","author_id","string (digits)","platform user id","","0","2A §5.1","X user identifier of the post's author; joins profiles.user_id for the 35 profiles."
"tweets","author_handle","string","X handle without @","","0","2A §5.1","Handle of the post's author. 159,060 posts belong to the 35 profiles; 477 posts by 342 other accounts are in the collected post table."
"tweets","in_reply_to_tweet_id","string (digits) or null","platform post id","","147,502","2A §5.1","Post id this post replies to, where the collected record carried one."
"tweets","created_at","string (ISO 8601, UTC offset)","timestamp","","0","2B §3.3.3","Post creation time as collected. Temporal Consistency uses post timestamps."
"tweets","retweet_count","integer","[0, inf)","0 to 59227","0","2A §3.3.2.4; 2A §3.3.2.5; 2B §3.2.1","Retweet count stored with the collected record. Engagement Ratio, Retweet Velocity and Virality's reach component read it."
"tweets","like_count","integer","[0, inf)","0 to 150598","0","2A §3.3.2.4","Like count stored with the collected record; an Engagement Ratio input."
"tweets","reply_count","integer","[0, inf)","0 to 33898","0","2A §3.3.2.4; 2B §3.3.1","Reply count stored with the collected record; an Engagement Ratio input, and the reply counts Engagement Patterns reads."
"tweets","quote_count","integer","[0, inf)","0 to 4202","0","2A §3.3.2.4","Quote count stored with the collected record; an Engagement Ratio input."
"tweets","view_count","integer","[0, inf); 0 where no impression count was available","0 to 9989511","0","2A §3.3.2.4; 2B §5.3","Impression count stored with the collected record; the Engagement Ratio denominator is this count plus one. It is 0 on the 73,840 posts without an impression count, whose stored Engagement Ratio is therefore the unnormalized weighted interaction count."
"tweets","is_reply","integer","0 or 1","0 to 1","0","2B §3.3.1","Interaction-type flag as collected; Engagement Patterns' interaction diversity reads the interaction type of each post."
"tweets","is_quote","integer","0 or 1","0 to 1","0","2B §3.3.1","Interaction-type flag as collected (see is_reply)."
"tweets","is_retweet","integer","0 or 1","0 to 0","0","2B §3.3.1","Interaction-type flag as collected (see is_reply)."
"tweets","tweet_sentiment_score","string (JSON array of 6 reals)","each in [0, 1]","length 6","0","2A §3.3.2.1","Tweet Sentiment: positive, negative, neutral, mixed, ambiguity (stored as objective), sarcasm."
"tweets","tweet_emotion_score","string (JSON array of 14 reals)","each in [0, 1]","length 14","0","2A §3.3.2.1","Tweet Emotion: joy, sadness, anger, fear, disgust, surprise, trust, anticipation, love, optimism, pessimism, remorse, pride, curiosity. Not normalized."
"tweets","tweet_credibility_score","real","[0, 1]","0.004285714285714285 to 1.0","0","2A §3.3.2.3","Tweet Credibility."
"tweets","cross_reference_score","string (JSON array of 3 reals)","each in [0, 1]","length 3","0","2A §3.3.2.2","Cross-Reference verdict vector: support, contradict, unverified."
"tweets","engagement_ratio","real","[0, inf)","0.0 to 202154.5","0","2A §3.3.2.4; 2B §5.3","Engagement Ratio: weighted interaction count over impressions plus one. Where no impression count was available (73,840 posts) the stored value is the unnormalized weighted interaction count."
"tweets","retweet_velocity","real","[0, inf)","0.0 to 316.5323424777606","0","2A §3.3.2.5","Retweet Velocity."
"tweets","virality_score","real","declared [0, 1]; deployed [0.200, 0.600]","0.2 to 0.6000000000000001","0","2B §3.2.1; 2B §5.5","Virality."
"tweets","tweet_influence_score","real","declared [0, 1]; deployed [0.070, 0.760]","0.06999999999999999 to 0.5616360800389444","0","2B §3.2.2; 2B §5.5","Per-Tweet Influence."
"tweets","cross_reference_confidence","real","[0, 1]","0.0 to 0.3934693402873666","0","2A §3.3.2.2","Evidence-retrieval indicator attached to the Cross-Reference verdict: a retrieval-coverage measure, not a calibrated confidence in the verdict's correctness. Greater than zero on the 58,944 posts that received a verdict."
"tweets","avg_affirmation_score","real","[-1, 1]","-0.6277404837302871 to 0.7273130010422038","0","2A §3.3.1.4; 2B §3.3.5","Mean Comment Affirmation over the post's enriched comments. Profile Credibility's crowd component consumes the account mean of this value."
